,areas,beds,baths,listing_date,prices,title_len,des_len,school,airport,city,association,view,ใหม่
198,84.0,3.0,3.0,2021-09-15,5990000,149,2043,1,0,0,1,0,0
199,,3.0,2.0,2021-09-28,3390000,77,948,1,0,1,1,0,0
200,,3.0,2.0,2021-09-15,5300000,48,1433,0,0,0,1,0,0
201,,2.0,2.0,2021-09-12,2200000,49,1522,0,0,0,1,0,0
202,,3.0,2.0,2021-09-12,4999000,76,1392,1,0,0,1,0,0
203,25.0,4.0,3.0,2021-10-19,15000000,64,185,0,0,0,0,0,0
204,54.0,4.0,3.0,2021-09-11,3990000,52,1083,0,0,1,1,0,0
205,70.0,3.0,2.0,2021-09-09,2690000,104,1024,0,1,1,0,0,1
206,52.0,3.0,2.0,2021-09-09,2380000,96,829,0,1,1,1,0,1
207,,4.0,4.0,2021-09-03,10900000,65,2305,1,1,0,1,0,0
208,115.0,4.0,3.0,2021-09-06,9800000,63,1024,0,0,0,1,0,0
209,24.0,1.0,1.0,2021-09-08,1190000,76,703,0,0,0,0,0,0
210,,3.0,3.0,2021-09-21,4990000,70,908,0,1,1,1,0,1
211,55.0,3.0,3.0,2021-09-11,2590000,161,1159,0,1,0,1,1,0
212,,,,2021-09-07,2890000,57,1485,0,0,1,1,0,0
213,208.0,3.0,3.0,2021-09-13,12500000,57,750,1,0,0,0,1,0
214,,6.0,7.0,2021-09-09,136500000,52,803,0,0,0,0,0,0
215,180.0,3.0,3.0,2021-09-09,23800000,77,1200,0,0,0,0,0,0
216,223.0,3.0,4.0,2021-09-21,9900000,70,947,0,1,1,1,0,1
217,,3.0,3.0,2021-09-08,3690000,54,873,0,0,0,1,0,0
218,,3.0,2.0,2021-09-05,3500000,60,1333,0,0,1,1,0,0
219,55.0,2.0,1.0,2021-09-03,2150000,81,807,0,0,1,1,0,0
220,53.0,3.0,2.0,2021-08-29,4860000,68,1464,0,0,0,1,0,0
221,,4.0,3.0,2021-08-29,4900000,53,1343,0,1,0,1,0,0
222,73.0,4.0,3.0,2021-09-07,12900000,104,1349,0,1,1,1,0,0
223,120.0,3.0,2.0,2021-09-26,8650000,88,493,0,0,1,0,1,1
224,90.0,4.0,4.0,2021-09-10,7299000,90,1131,1,0,0,1,0,0
225,,3.0,3.0,2021-08-23,8700000,50,1107,0,0,0,0,0,1
226,107.0,4.0,4.0,2021-09-05,13500000,64,1275,0,0,0,1,1,0
227,,3.0,3.0,2021-09-07,2800000,35,857,0,0,0,1,1,0
228,,4.0,4.0,2021-09-08,20000000,80,941,1,0,0,1,0,0
229,,3.0,2.0,2021-09-08,3350000,85,779,0,1,0,0,0,0
230,182.0,4.0,5.0,2021-09-08,18900000,74,915,0,0,0,0,0,0
231,70.0,3.0,3.0,2021-08-30,4590000,101,1108,0,0,1,0,0,1
232,,3.0,2.0,2021-09-06,5500000,84,1647,0,1,0,1,0,0
233,23.0,5.0,2.0,2021-09-04,4400000,166,249,0,0,0,0,0,0
234,96.0,4.0,2.0,2021-08-26,15000000,53,1202,0,0,0,0,0,0
235,57.0,3.0,3.0,2021-09-06,4590000,93,1548,0,0,0,1,0,0
236,,4.0,4.0,2021-09-03,7900000,53,1190,0,1,0,1,0,0
237,,,,2021-09-01,3790000,69,1424,0,0,1,1,0,0
238,52.0,3.0,2.0,2021-08-30,3490000,36,1276,0,1,0,1,0,0
239,80.0,4.0,3.0,2021-08-30,5950000,53,1009,0,0,0,1,0,0
240,51.0,3.0,2.0,2021-08-30,4150000,54,1936,1,1,1,1,0,0
241,54.0,3.0,2.0,2021-10-19,2900000,255,360,0,0,1,1,0,0
242,29.0,3.0,2.0,2021-10-03,3750000,81,1027,0,0,0,1,0,0
243,,3.0,3.0,2021-08-22,6500000,74,997,0,0,0,1,0,0
244,,4.0,7.0,2021-10-17,9500000,255,456,0,0,0,0,0,0
245,35.0,3.0,2.0,2021-08-24,3790000,74,1661,0,1,0,1,0,0
246,75.0,2.0,2.0,2021-09-20,3190000,50,971,0,0,0,1,0,0
247,,3.0,3.0,2021-08-28,6500000,80,1426,0,0,0,1,0,0
248,50.0,3.0,3.0,2021-08-20,6180000,147,2121,1,0,0,1,1,0
249,,,,2021-09-02,3749000,66,1389,0,0,0,1,0,0
250,71.0,6.0,3.0,2021-08-26,5900000,49,1437,0,0,0,0,0,0
251,,4.0,4.0,2021-08-22,14500000,91,1519,0,1,0,1,0,0
252,80.0,3.0,3.0,2021-08-22,13900000,70,1357,1,0,0,1,0,0
253,,3.0,3.0,2021-08-16,5990000,84,1449,1,0,1,1,0,0
254,,5.0,6.0,2021-08-20,28000000,107,1284,1,1,0,1,1,0
255,,,,2021-09-01,4780000,55,1716,0,0,0,1,0,0
256,,,,2021-08-30,3320000,64,1351,0,0,0,1,0,0
257,,,,2021-08-30,6490000,70,1483,0,0,0,1,0,0
258,115.0,4.0,5.0,2021-08-31,17900000,77,1556,1,0,0,0,0,0
259,,3.0,2.0,2021-08-31,2150000,155,586,0,0,0,1,0,0
260,,3.0,3.0,2021-09-01,4190000,89,380,0,0,0,0,0,0
261,64.0,2.0,2.0,2021-09-30,4990000,84,1073,0,0,0,1,0,0
262,55.0,3.0,3.0,2021-08-26,3490000,45,1750,1,0,0,1,0,0
263,,3.0,2.0,2021-08-24,2290000,61,1095,0,0,0,1,0,0
264,55.0,3.0,2.0,2021-08-23,2600000,63,641,1,0,0,1,1,0
265,,3.0,4.0,2021-08-22,23900000,123,1083,0,0,0,0,0,0
266,,3.0,2.0,2021-08-16,4800000,78,818,1,0,0,1,1,0
267,,5.0,4.0,2021-08-17,36000000,48,1389,0,0,0,0,0,0
268,73.0,4.0,3.0,2021-08-31,12900000,86,1630,0,0,0,0,1,0
